Temperature_C,ER,Gasifying_Agent,Reactor_Type,Moisture_wt_pct,Pressure_bar,H2_mol_per_Nm3,CO2_mol_per_Nm3,CO_mol_per_Nm3,CH4_mol_per_Nm3,N2_mol_per_Nm3,tar_g_per_Nm3,char_g_per_kg_feed
829.0,0.273,O2,DFB,28.2,1.0,14.5,12.3,15.8,1.15,0.466,0.551,9.94
915.0,0.156,O2,Downdraft,16.7,1.0,16.6,9.36,17.0,0.686,0.598,0.162,8.75
791.0,0.0,Steam,BFB,16.5,5.0,20.4,12.2,7.9,3.57,0.113,6.8,41.7
876.0,0.152,Air,Downdraft,13.1,1.0,5.91,5.35,8.83,0.694,23.4,0.201,10.1
862.0,0.186,Steam+O2,DFB,23.0,1.0,18.3,9.56,13.7,1.39,1.16,0.485,9.34
788.0,0.382,Air,BFB,18.4,10.0,1.75,9.11,5.01,2.74,25.6,3.78,26.6
876.0,0.267,Steam+O2,CFB,20.9,1.0,18.2,10.1,13.4,1.2,1.19,0.905,12.5
884.0,0.379,Air,CFB,14.5,1.0,3.79,7.89,6.72,0.152,25.6,0.53,9.12
984.0,0.133,Steam+O2,Downdraft,13.1,1.0,20.2,7.74,14.5,0.712,1.08,0.101,5.9
828.0,0.216,Steam+O2,BFB,19.9,1.0,18.2,9.97,13.6,1.28,1.15,3.8,22.4
857.0,0.169,Steam+O2,BFB,18.5,1.0,18.6,9.16,14.0,1.4,1.03,3.47,22.8
839.0,0.367,O2,DFB,17.0,10.0,13.3,12.7,14.5,3.18,0.366,0.33,7.16
795.0,0.235,Air,DFB,14.0,1.0,4.46,6.97,7.47,0.874,24.4,0.547,11.8
807.0,0.268,Steam+O2,BFB,3.8,10.0,16.5,10.6,12.6,3.56,1.01,2.7,17.4
854.0,0.28,Steam+O2,BFB,18.7,1.0,18.0,10.3,13.5,1.26,1.17,2.09,16.6
793.0,0.433,Air,DFB,17.6,1.0,2.58,9.43,5.79,0.186,26.2,0.149,6.7
808.0,0.153,Air,DFB,18.8,10.0,3.84,6.41,7.06,3.4,23.4,1.24,16.7
799.0,0.376,Air,BFB,4.9,20.0,1.85,8.99,4.98,3.11,25.2,2.69,22.7
953.0,0.0,Steam,Downdraft,17.4,15.0,21.1,11.0,7.91,3.88,0.196,0.188,10.1
766.0,0.358,Air,DFB,12.2,1.0,3.17,8.55,6.18,0.584,25.7,0.329,8.13
846.0,0.244,Steam+O2,Downdraft,4.8,1.0,18.3,9.65,13.9,1.36,0.971,0.0997,8.04
860.0,0.101,Steam+O2,CFB,18.0,15.0,17.3,9.21,12.7,3.89,1.08,2.93,24.8
775.0,0.339,Air,BFB,19.4,10.0,1.88,8.82,5.23,2.78,25.5,5.59,31.2
813.0,0.282,Air,CFB,18.8,10.0,2.79,7.9,6.01,2.99,24.5,2.42,22.8
867.0,0.135,Steam+O2,BFB,24.5,10.0,17.1,9.65,12.6,3.76,1.07,7.73,32.3
830.0,0.247,O2,DFB,16.8,1.0,15.3,11.1,16.2,0.959,0.525,0.382,9.35
812.0,0.296,Air,BFB,25.9,1.0,3.22,8.1,6.61,0.807,25.4,4.74,26.8
837.0,0.0,Steam,BFB,20.8,5.0,20.7,12.0,8.04,3.18,0.307,6.27,32.6
803.0,0.0,Steam,CFB,24.8,1.0,20.7,12.1,8.55,1.91,0.265,2.74,35.1
853.0,0.256,Steam+O2,Downdraft,12.9,1.0,18.3,9.98,13.6,1.18,1.09,0.104,7.48
799.0,0.109,Steam+O2,BFB,24.1,1.0,17.9,9.78,13.8,1.5,1.05,8.15,40.1
861.0,0.309,Air,CFB,12.3,1.0,4.37,7.18,7.26,0.416,24.9,0.888,12.9
749.0,0.137,Steam+O2,BFB,8.4,1.0,18.0,9.47,13.9,1.62,1.19,5.51,31.0
790.0,0.285,Air,DFB,24.5,1.0,3.18,8.13,6.56,0.807,25.5,0.669,12.0
799.0,0.116,Steam+O2,BFB,23.6,1.0,17.9,9.48,13.7,1.8,1.07,7.97,35.8
747.0,0.298,Air,DFB,17.0,1.0,3.36,8.27,6.69,0.868,25.0,0.585,13.4
904.0,0.316,Air,CFB,19.8,1.0,4.23,7.54,7.21,0.296,24.9,0.965,11.1
868.0,0.133,Steam+O2,DFB,19.7,1.0,18.7,8.94,14.0,1.3,1.16,0.538,8.39
833.0,0.0,Steam,DFB,13.1,1.0,21.9,11.4,9.06,1.61,0.182,0.402,9.89
912.0,0.0,Steam,Downdraft,4.6,1.0,22.5,10.7,9.35,1.34,0.241,0.0896,9.19
882.0,0.38,Air,BFB,17.0,10.0,2.61,8.39,5.54,2.35,25.3,1.97,13.2
810.0,0.207,O2,Downdraft,13.2,1.0,15.6,10.8,16.4,1.02,0.38,0.201,13.2
848.0,0.291,Steam+O2,CFB,15.0,10.0,16.9,10.6,12.2,3.32,1.1,1.16,14.0
848.0,0.269,Steam+O2,CFB,19.1,1.0,18.1,10.2,13.4,1.39,1.14,0.967,13.3
837.0,0.221,Air,BFB,18.2,20.0,3.2,7.09,6.12,3.69,24.1,7.43,26.4
854.0,0.314,Air,CFB,20.5,1.0,3.95,7.75,7.08,0.496,24.9,1.22,15.6
716.0,0.176,Steam+O2,BFB,23.6,5.0,15.7,11.3,12.3,3.55,1.06,13.6,40.7
766.0,0.227,O2,DFB,17.3,1.0,14.9,11.4,16.1,1.4,0.389,0.635,15.8
769.0,0.431,Air,BFB,29.1,1.0,1.57,10.1,5.23,0.47,26.8,2.22,26.1
862.0,0.4,Air,CFB,21.6,1.0,2.99,8.56,6.21,0.24,26.2,0.631,12.9
784.0,0.218,O2,DFB,11.8,1.0,15.3,11.0,16.2,1.27,0.357,0.523,10.7
845.0,0.133,Steam+O2,CFB,17.8,20.0,17.0,9.53,12.5,4.2,1.01,3.27,26.3
911.0,0.239,Steam+O2,CFB,5.0,1.0,19.0,9.17,14.1,0.847,1.04,0.594,8.81
885.0,0.173,Air,DFB,8.6,5.0,4.93,5.64,7.88,2.25,23.5,0.465,8.53
768.0,0.202,Air,DFB,26.4,1.0,3.5,7.55,7.19,1.2,24.7,1.09,19.3
764.0,0.185,Steam+O2,BFB,19.8,1.0,17.7,10.3,13.3,1.76,1.11,6.31,34.8
812.0,0.167,Steam+O2,DFB,20.0,15.0,16.4,10.1,12.3,4.38,1.04,1.04,14.4
810.0,0.264,Air,BFB,12.0,1.0,4.15,7.08,7.48,0.767,24.7,3.51,21.9
861.0,0.417,Air,CFB,17.6,1.0,3.16,8.56,6.24,0.101,26.1,0.454,10.5
859.0,0.335,O2,DFB,13.2,1.0,15.5,11.6,16.1,0.779,0.267,0.201,5.95
774.0,0.353,Air,BFB,22.5,1.0,2.75,8.86,6.18,0.712,25.7,4.16,28.0
820.0,0.171,Air,BFB,10.2,1.0,5.28,5.74,8.48,0.973,23.7,4.5,23.4
939.0,0.187,O2,CFB,12.6,1.0,16.8,9.42,16.8,0.719,0.421,0.946,10.4
819.0,0.302,Air,DFB,18.8,1.0,3.7,7.73,6.93,0.676,25.1,0.447,8.8
829.0,0.281,O2,BFB,15.0,1.0,15.3,11.4,16.0,1.03,0.4,2.81,20.9
854.0,0.155,O2,CFB,19.5,5.0,15.1,10.3,15.8,2.71,0.385,2.61,20.7
815.0,0.273,Air,BFB,14.2,1.0,4.33,7.28,7.22,0.697,24.6,3.53,25.1
870.0,0.209,Steam+O2,CFB,6.7,10.0,17.4,9.5,12.6,3.54,1.14,1.26,13.1
836.0,0.3,O2,BFB,15.3,5.0,14.2,11.9,15.2,2.52,0.374,3.81,21.0
918.0,0.412,Air,Downdraft,5.7,10.0,2.73,8.25,5.81,1.94,25.4,0.0487,4.62
835.0,0.0,Steam,DFB,8.6,1.0,21.7,11.3,9.14,1.51,0.204,0.326,8.21
751.0,0.177,Air,CFB,13.1,1.0,4.72,6.4,7.72,1.32,24.0,2.57,31.4
869.0,0.197,Air,CFB,4.8,1.0,5.31,5.85,8.43,0.769,23.8,1.12,13.6
777.0,0.362,Air,BFB,17.1,1.0,2.95,8.53,6.32,0.741,25.6,2.91,25.1
912.0,0.151,Air,Downdraft,18.1,10.0,4.81,5.56,7.64,2.9,23.3,0.266,10.5
827.0,0.421,Air,CFB,13.8,1.0,3.09,8.87,6.06,0.153,26.0,0.518,10.6
859.0,0.101,Steam+O2,DFB,16.5,10.0,17.5,9.0,13.0,3.63,1.01,0.865,11.6
853.0,0.325,Air,BFB,13.8,1.0,4.1,7.51,7.02,0.429,25.1,2.33,17.1
850.0,0.442,Air,Downdraft,11.5,1.0,2.9,8.88,6.29,0.139,26.0,0.0371,5.6
725.0,0.167,O2,CFB,16.6,1.0,14.8,10.9,16.3,1.56,0.569,3.42,36.7
810.0,0.343,Air,BFB,17.5,15.0,2.26,8.54,5.33,3.01,25.0,3.78,24.2
816.0,0.168,Air,BFB,24.7,1.0,4.49,6.56,7.77,1.05,24.3,7.67,38.5
854.0,0.232,Air,BFB,22.9,1.0,4.41,6.94,7.49,0.866,24.5,4.49,23.5
847.0,0.243,Air,DFB,23.6,1.0,4.19,7.01,7.46,0.657,24.8,0.509,10.4
876.0,0.403,Air,DFB,11.7,1.0,3.69,8.13,6.6,0.093,25.7,0.122,4.33
753.0,0.216,Steam+O2,DFB,17.8,1.0,17.5,10.6,13.4,1.64,1.07,0.591,14.1
767.0,0.407,Air,BFB,18.7,1.0,2.42,9.13,5.78,0.504,26.3,2.4,21.0
838.0,0.158,O2,Downdraft,15.2,10.0,14.7,10.2,15.3,3.45,0.442,0.336,15.2
865.0,0.172,O2,DFB,15.1,1.0,16.0,9.77,16.7,1.15,0.498,0.475,8.17
781.0,0.394,Air,BFB,15.9,1.0,2.95,8.87,6.25,0.511,25.6,2.15,19.0
874.0,0.372,Air,CFB,14.6,1.0,3.88,7.9,6.77,0.26,25.4,0.605,9.88
950.0,0.202,Steam+O2,Downdraft,11.6,1.0,19.6,8.58,14.2,0.767,1.06,0.0882,4.92
866.0,0.3,Air,Downdraft,8.8,15.0,3.13,7.67,5.92,2.97,24.5,0.154,8.89
830.0,0.246,Air,BFB,18.4,1.0,4.4,6.91,7.42,0.768,24.7,4.63,23.3
904.0,0.256,Air,BFB,21.2,1.0,4.72,6.86,7.66,0.525,24.4,2.94,16.0
840.0,0.405,Air,CFB,17.4,1.0,3.21,8.74,6.23,0.333,25.7,0.6,11.8
765.0,0.241,Air,CFB,19.8,1.0,3.74,7.54,7.22,1.06,24.6,2.32,30.6
826.0,0.201,Air,CFB,16.8,1.0,4.78,6.28,8.03,0.8,24.3,2.01,22.3
944.0,0.187,Steam+O2,CFB,16.0,15.0,17.9,9.0,12.7,3.6,0.952,1.42,10.8
738.0,0.305,Air,BFB,24.5,1.0,2.74,8.67,6.17,0.946,25.6,6.2,40.5
864.0,0.294,O2,DFB,18.1,10.0,14.0,11.8,14.8,3.08,0.424,0.523,7.02
820.0,0.0,Steam,DFB,18.6,1.0,21.4,11.6,8.85,1.64,0.243,0.587,12.6
785.0,0.0,Steam,BFB,18.1,1.0,20.9,11.9,8.79,1.9,0.201,5.72,37.5
862.0,0.364,Air,DFB,30.7,15.0,1.41,9.24,4.96,2.92,25.6,0.482,9.37
705.0,0.2,Steam+O2,CFB,17.5,1.0,17.0,10.7,13.3,1.79,1.07,2.84,34.9
860.0,0.207,Steam+O2,Downdraft,2.0,1.0,18.5,9.32,14.1,1.2,1.1,0.1,8.21
892.0,0.356,Air,Downdraft,20.3,1.0,3.72,8.03,6.87,0.0623,25.5,0.101,6.77
795.0,0.181,Steam+O2,DFB,7.0,1.0,18.2,9.66,13.9,1.4,0.983,0.417,10.7
800.0,0.267,Steam+O2,CFB,16.6,1.0,17.7,10.5,13.5,1.44,1.15,1.15,18.3
797.0,0.223,Air,BFB,23.7,1.0,3.92,7.28,7.29,0.966,24.7,6.21,32.0
1000.0,0.293,Air,Downdraft,24.2,1.0,4.83,6.63,7.82,0.0403,24.9,0.0832,4.62
816.0,0.232,Air,CFB,14.5,10.0,3.4,7.08,6.58,3.05,24.1,2.57,23.8
793.0,0.169,Air,DFB,10.4,10.0,3.76,6.59,6.94,3.32,23.6,0.947,12.4
906.0,0.259,Air,BFB,14.4,1.0,5.01,6.25,8.11,0.335,24.5,2.43,15.7
892.0,0.0,Steam,Downdraft,2.0,10.0,21.0,11.2,8.11,3.7,0.132,0.156,10.5
944.0,0.261,Air,Downdraft,13.4,5.0,4.46,6.5,7.29,1.73,24.2,0.13,6.88
822.0,0.228,Air,DFB,34.4,10.0,2.14,8.39,5.79,3.16,24.7,1.46,15.8
826.0,0.0,Steam,BFB,16.1,1.0,21.7,11.6,9.15,1.46,0.201,4.06,30.4
864.0,0.296,Air,BFB,15.8,20.0,2.76,7.66,6.0,3.2,24.5,4.79,21.7
885.0,0.152,Air,Downdraft,7.4,1.0,5.86,5.09,9.02,0.718,23.5,0.153,8.42
